Driver,Team,LapNumber,LapTime,Compound,Stint,TrackStatus,IsAccurate,LapTimeSeconds,Year,Track,Session,AirTempC,TrackTempC,Rainfall,TyreAgeLaps,SessionProgress,LapTimeFormatted
VER,Red Bull Racing,5.0,0 days 00:01:22.812000,SOFT,2.0,12,True,82.812,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:22.812
VER,Red Bull Racing,8.0,0 days 00:01:19.874000,SOFT,3.0,1,True,79.874,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Mid,1:19.874
VER,Red Bull Racing,11.0,0 days 00:01:19.662000,SOFT,4.0,1,True,79.662,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Mid,1:19.662
VER,Red Bull Racing,14.0,0 days 00:01:20.072000,SOFT,5.0,1,True,80.072,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Late,1:20.072
VER,Red Bull Racing,17.0,0 days 00:01:20.022000,SOFT,6.0,1,True,80.022,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Late,1:20.022
ZHO,Kick Sauber,2.0,0 days 00:01:21.968000,SOFT,1.0,1,True,81.968,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:21.968
ZHO,Kick Sauber,5.0,0 days 00:01:21.514000,SOFT,2.0,1,True,81.514,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:21.514
ZHO,Kick Sauber,8.0,0 days 00:01:21.445000,SOFT,3.0,12,True,81.445,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Mid,1:21.445
ALB,Williams,2.0,0 days 00:01:27.011000,MEDIUM,1.0,1,True,87.011,2024,Monza,R,33.1015037593985,49.31127819548872,0.0,0,Early,1:27.011
ALB,Williams,3.0,0 days 00:01:26.282000,MEDIUM,1.0,1,True,86.282,2024,Monza,R,33.1015037593985,49.31127819548872,0.0,1,Early,1:26.282
ALB,Williams,4.0,0 days 00:01:26.527000,MEDIUM,1.0,1,True,86.527,2024,Monza,R,33.1015037593985,49.31127819548872,0.0,2,Early,1:26.527
ALB,Williams,5.0,0 days 00:01:26.039000,MEDIUM,1.0,1,True,86.039,2024,Monza,R,33.1015037593985,49.31127819548872,0.0,3,Early,1:26.039
ALB,Williams,6.0,0 days 00:01:25.946000,MEDIUM,1.0,1,True,85.946,2024,Monza,R,33.1015037593985,49.31127819548872,0.0,4,Early,1:25.946
ALB,Williams,7.0,0 days 00:01:25.990000,MEDIUM,1.0,1,True,85.99,2024,Monza,R,33.1015037593985,49.31127819548872,0.0,5,Early,1:25.990
ALB,Williams,8.0,0 days 00:01:25.963000,MEDIUM,1.0,1,True,85.963,2024,Monza,R,33.1015037593985,49.31127819548872,0.0,6,Early,1:25.963
ALB,Williams,9.0,0 days 00:01:25.666000,MEDIUM,1.0,1,True,85.666,2024,Monza,R,33.1015037593985,49.31127819548872,0.0,7,Early,1:25.666
ALB,Williams,10.0,0 days 00:01:25.711000,MEDIUM,1.0,1,True,85.711,2024,Monza,R,33.1015037593985,49.31127819548872,0.0,8,Early,1:25.711
ALB,Williams,11.0,0 days 00:01:25.734000,MEDIUM,1.0,1,True,85.734,2024,Monza,R,33.1015037593985,49.31127819548872,0.0,9,Early,1:25.734
ALB,Williams,12.0,0 days 00:01:25.468000,MEDIUM,1.0,1,True,85.468,2024,Monza,R,33.1015037593985,49.31127819548872,0.0,10,Early,1:25.468
ALB,Williams,13.0,0 days 00:01:25.533000,MEDIUM,1.0,1,True,85.533,2024,Monza,R,33.1015037593985,49.31127819548872,0.0,11,Early,1:25.533
ALB,Williams,14.0,0 days 00:01:26.140000,MEDIUM,1.0,1,True,86.14,2024,Monza,R,33.1015037593985,49.31127819548872,0.0,12,Early,1:26.140
ALB,Williams,15.0,0 days 00:01:26.463000,MEDIUM,1.0,1,True,86.463,2024,Monza,R,33.1015037593985,49.31127819548872,0.0,13,Early,1:26.463
ALB,Williams,16.0,0 days 00:01:26.454000,MEDIUM,1.0,1,True,86.454,2024,Monza,R,33.1015037593985,49.31127819548872,0.0,14,Early,1:26.454
ALB,Williams,19.0,0 days 00:01:25.254000,HARD,2.0,1,True,85.254,2024,Monza,R,33.1015037593985,49.31127819548872,0.0,0,Mid,1:25.254
ALB,Williams,20.0,0 days 00:01:25.074000,HARD,2.0,1,True,85.074,2024,Monza,R,33.1015037593985,49.31127819548872,0.0,1,Mid,1:25.074
ALB,Williams,21.0,0 days 00:01:24.860000,HARD,2.0,1,True,84.86,2024,Monza,R,33.1015037593985,49.31127819548872,0.0,2,Mid,1:24.860
ALB,Williams,22.0,0 days 00:01:25.053000,HARD,2.0,1,True,85.053,2024,Monza,R,33.1015037593985,49.31127819548872,0.0,3,Mid,1:25.053
