Driver,Team,LapNumber,LapTime,Compound,Stint,TrackStatus,IsAccurate,LapTimeSeconds,Year,Track,Session,AirTempC,TrackTempC,Rainfall,TyreAgeLaps,SessionProgress,LapTimeFormatted,FuelKg,EstimatedCarWeightKg,CompoundEffect,Intensity,TyreAgeEffect,EstimatedTyreTempC
VER,Red Bull Racing,17.0,0 days 00:01:20.022000,SOFT,6.0,1,True,80.022,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Late,1:20.022,10.0,808.0,8,0.450214267708598,0.0,59.43166535308703
ZHO,Kick Sauber,2.0,0 days 00:01:21.968000,SOFT,1.0,1,True,81.968,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:21.968,10.0,808.0,8,-1.0,0.0,50.73037974683544
ZHO,Kick Sauber,5.0,0 days 00:01:21.514000,SOFT,2.0,1,True,81.514,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:21.514,10.0,808.0,8,-1.0,0.0,50.73037974683544
ZHO,Kick Sauber,8.0,0 days 00:01:21.445000,SOFT,3.0,12,True,81.445,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Mid,1:21.445,10.0,808.0,8,-0.9846231409125193,0.0,50.82264090136032
ALB,Williams,2.0,0 days 00:01:27.011000,MEDIUM,1.0,1,True,87.011,2024,Monza,R,33.1015037593985,49.31127819548872,0.0,0,Early,1:27.011,107.9245283018868,905.9245283018868,5,-1.0,0.0,48.31127819548872
ALB,Williams,3.0,0 days 00:01:26.282000,MEDIUM,1.0,1,True,86.282,2024,Monza,R,33.1015037593985,49.31127819548872,0.0,1,Early,1:26.282,105.84905660377359,903.8490566037735,5,-0.7425587467362884,0.6,50.45592571507099
ALB,Williams,4.0,0 days 00:01:26.527000,MEDIUM,1.0,1,True,86.527,2024,Monza,R,33.1015037593985,49.31127819548872,0.0,2,Early,1:26.527,103.77358490566037,901.7735849056604,5,-0.8704960835509118,1.2,50.28830169418325
ALB,Williams,5.0,0 days 00:01:26.039000,MEDIUM,1.0,1,True,86.039,2024,Monza,R,33.1015037593985,49.31127819548872,0.0,3,Early,1:26.039,101.69811320754717,899.6981132075472,5,-0.6156657963446466,1.7999999999999998,52.41728341742083
ALB,Williams,6.0,0 days 00:01:25.946000,MEDIUM,1.0,1,True,85.946,2024,Monza,R,33.1015037593985,49.31127819548872,0.0,4,Early,1:25.946,99.62264150943396,897.622641509434,5,-0.5671018276762376,2.4,53.30866722943129
ALB,Williams,7.0,0 days 00:01:25.990000,MEDIUM,1.0,1,True,85.99,2024,Monza,R,33.1015037593985,49.31127819548872,0.0,5,Early,1:25.990,97.54716981132076,895.5471698113207,5,-0.590078328981719,3.0,53.7708082215984
ALB,Williams,8.0,0 days 00:01:25.963000,MEDIUM,1.0,1,True,85.963,2024,Monza,R,33.1015037593985,49.31127819548872,0.0,6,Early,1:25.963,95.47169811320755,893.4716981132076,5,-0.5759791122715356,3.5999999999999996,54.45540352185951
ALB,Williams,9.0,0 days 00:01:25.666000,MEDIUM,1.0,1,True,85.666,2024,Monza,R,33.1015037593985,49.31127819548872,0.0,7,Early,1:25.666,93.39622641509433,891.3962264150944,5,-0.42088772845952727,4.2,55.98595182473156
ALB,Williams,10.0,0 days 00:01:25.711000,MEDIUM,1.0,1,True,85.711,2024,Monza,R,33.1015037593985,49.31127819548872,0.0,8,Early,1:25.711,91.32075471698113,889.3207547169811,5,-0.4443864229764994,4.8,56.44495965762972
ALB,Williams,11.0,0 days 00:01:25.734000,MEDIUM,1.0,1,True,85.734,2024,Monza,R,33.1015037593985,49.31127819548872,0.0,9,Early,1:25.734,89.24528301886792,887.2452830188679,5,-0.4563968668407271,5.3999999999999995,56.972896994444355
ALB,Williams,12.0,0 days 00:01:25.468000,MEDIUM,1.0,1,True,85.468,2024,Monza,R,33.1015037593985,49.31127819548872,0.0,10,Early,1:25.468,87.16981132075472,885.1698113207547,5,-0.3174934725848575,6.0,58.406317359979575
ALB,Williams,13.0,0 days 00:01:25.533000,MEDIUM,1.0,1,True,85.533,2024,Monza,R,33.1015037593985,49.31127819548872,0.0,11,Early,1:25.533,85.09433962264151,883.0943396226415,5,-0.3514360313315925,6.6,58.802662007499165
ALB,Williams,14.0,0 days 00:01:26.140000,MEDIUM,1.0,1,True,86.14,2024,Monza,R,33.1015037593985,49.31127819548872,0.0,12,Early,1:26.140,83.01886792452831,881.0188679245283,5,-0.6684073107049593,7.199999999999999,57.50083433125896
ALB,Williams,15.0,0 days 00:01:26.463000,MEDIUM,1.0,1,True,86.463,2024,Monza,R,33.1015037593985,49.31127819548872,0.0,13,Early,1:26.463,80.9433962264151,878.9433962264151,5,-0.8370757180156602,7.8,57.08882388739475
ALB,Williams,16.0,0 days 00:01:26.454000,MEDIUM,1.0,1,True,86.454,2024,Monza,R,33.1015037593985,49.31127819548872,0.0,14,Early,1:26.454,78.86792452830188,876.8679245283018,5,-0.8323759791122657,8.4,57.717022320815126
ALB,Williams,19.0,0 days 00:01:25.254000,HARD,2.0,1,True,85.254,2024,Monza,R,33.1015037593985,49.31127819548872,0.0,0,Mid,1:25.254,72.64150943396226,870.6415094339623,2,-0.20574412532637293,0.0,50.07681344353048
ALB,Williams,20.0,0 days 00:01:25.074000,HARD,2.0,1,True,85.074,2024,Monza,R,33.1015037593985,49.31127819548872,0.0,1,Mid,1:25.074,70.56603773584905,868.566037735849,2,-0.11174934725848457,0.6,51.24078211193781
ALB,Williams,21.0,0 days 00:01:24.860000,HARD,2.0,1,True,84.86,2024,Monza,R,33.1015037593985,49.31127819548872,0.0,2,Mid,1:24.860,68.49056603773585,866.4905660377358,2,0.0,1.2,52.51127819548872
ALB,Williams,22.0,0 days 00:01:25.053000,HARD,2.0,1,True,85.053,2024,Monza,R,33.1015037593985,49.31127819548872,0.0,3,Mid,1:25.053,66.41509433962264,864.4150943396227,2,-0.10078328981723092,1.7999999999999998,52.50657845658533
